id,title,age,rating_cat,genre_cat,runtime,popularity,score,budget,budget_efficiency_cat,director_age,director_experience,director_is_acclaimed,director_is_panned,director_efficiency,star_age,star_experience,star_is_acclaimed,star_is_panned,star_efficiency
1391,The Shawshank Redemption,30,R,Drama,142.0,2400000.0,9.3,25000000.0,mid,35.0,0,False,False,0.0,36.0,2,True,False,1.8790083325
1392,Pulp Fiction,30,R,Crime,154.0,1900000.0,8.9,8000000.0,high,31.0,1,True,False,2.428036666666667,40.0,6,True,True,2.742558889021797
1393,Forrest Gump,30,PG-13,Drama,142.0,1900000.0,8.8,55000000.0,high,42.0,6,True,False,6.752941877759741,38.0,12,True,False,5.1884446908248085
1394,True Lies,30,R,Action,141.0,243000.0,7.2,115000000.0,high,40.0,4,True,False,5.869182848959043,47.0,14,True,True,4.50883400075597
1395,The Lion King,30,G,Animation,88.0,970000.0,8.5,45000000.0,high,45.0,0,False,False,0.0,32.0,7,True,False,3.2957619936507934
1396,The Mask,30,PG-13,Action,101.0,357000.0,6.9,23000000.0,high,36.0,2,False,False,5.194075798245614,32.0,0,False,False,0.0
1397,Speed,30,R,Action,116.0,339000.0,7.2,30000000.0,high,51.0,0,False,False,0.0,30.0,3,False,False,2.0305652904761904
1398,Stargate,30,PG-13,Action,116.0,180000.0,7.1,55000000.0,high,39.0,1,False,False,1.578256434782609,43.0,7,True,False,1.9413264250340132
1399,The Little Rascals,30,PG,Comedy,82.0,45000.0,6.3,23000000.0,mid,49.0,2,False,True,5.725537475,6.0,0,False,False,0.0
1400,Dumb and Dumber,30,PG-13,Comedy,107.0,361000.0,7.3,17000000.0,high,38.0,0,False,False,0.0,32.0,0,False,False,0.0
1401,Legends of the Fall,30,R,Drama,133.0,154000.0,7.5,30000000.0,high,42.0,2,True,False,3.0260277483660127,31.0,2,False,False,0.2231593888888889
1402,Natural Born Killers,30,R,Action,118.0,222000.0,7.3,34000000.0,mid,48.0,7,True,False,4.2869883553998624,33.0,0,False,False,0.0
1403,The Crow,30,R,Action,102.0,170000.0,7.6,23000000.0,mid,31.0,0,False,False,0.0,29.0,1,False,False,1.4356479
1404,Interview with the Vampire: the Vampire Chronicles,30,R,Drama,123.0,301000.0,7.5,60000000.0,high,44.0,3,False,False,1.0756787411764706,31.0,2,False,False,0.2231593888888889
1405,Four Weddings and a Funeral,30,R,Comedy,117.0,144000.0,7.1,4400000.0,high,52.0,0,False,False,0.0,34.0,1,False,False,0.372561
1406,The Flintstones,30,PG,Comedy,91.0,77000.0,4.9,46000000.0,high,42.0,1,False,True,2.1803133333333333,42.0,2,False,True,1.507672525083612
1407,Ace Ventura: Pet Detective,30,PG-13,Comedy,86.0,284000.0,6.9,15000000.0,high,36.0,0,False,False,0.0,32.0,0,False,False,0.0
1408,Little Women,30,PG,Drama,115.0,54000.0,7.3,18000000.0,mid,44.0,1,False,False,0.3986647272727273,48.0,1,True,False,2.7549263636363635
1409,Street Fighter,30,PG-13,Action,102.0,67000.0,4.0,35000000.0,mid,47.0,0,False,False,0.0,34.0,9,False,True,5.249177404482019
1410,Clear and Present Danger,30,PG-13,Action,141.0,93000.0,6.9,62000000.0,high,44.0,4,False,True,1.971452586217949,52.0,11,True,False,5.691539323961039
1411,Heavenly Creatures,30,R,Biography,99.0,60000.0,7.3,5000000.0,low,33.0,1,True,False,0.0808743333333333,17.0,0,False,False,0.0
1412,Clerks,30,R,Comedy,92.0,214000.0,7.7,27000.0,high,24.0,0,False,False,0.0,25.0,0,False,False,0.0
1413,Maverick,30,PG,Action,127.0,104000.0,7.0,75000000.0,mid,64.0,8,True,False,4.302828982084232,38.0,11,True,False,4.392363999109875
1414,Wyatt Earp,30,PG-13,Adventure,191.0,47000.0,6.7,63000000.0,low,45.0,2,False,False,4.144066572115385,39.0,10,True,False,5.118699092839828
