id,title,runtime,rating_cat,genre_cat,popularity_cat,budget_cat,budget_efficiency,budget_efficiency_cat,age,score,is_acclaimed,is_panned,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
1391,The Shawshank Redemption,142.0,R,Drama,very-high,mid,1.15269164,mid,30,9.3,True,False,35.0,0,False,False,0.0,36.0,2,True,False,1.8790083325
1392,Pulp Fiction,154.0,R,Crime,very-high,low,10.0,high,30,8.9,True,False,31.0,1,True,False,2.428036666666667,40.0,6,True,True,2.742558889021797
1393,Forrest Gump,142.0,PG-13,Drama,very-high,high,10.0,high,30,8.8,True,False,42.0,6,True,False,6.752941877759741,38.0,12,True,False,5.1884446908248085
1394,True Lies,141.0,R,Action,very-high,very-high,3.2946296608695653,high,30,7.2,False,False,40.0,4,True,False,5.869182848959043,47.0,14,True,True,4.50883400075597
1395,The Lion King,88.0,G,Animation,very-high,high,10.0,high,30,8.5,True,False,45.0,0,False,False,0.0,32.0,7,True,False,3.2957619936507934
1396,The Mask,101.0,PG-13,Action,very-high,mid,10.0,high,30,6.9,False,False,36.0,2,False,False,5.194075798245614,32.0,0,False,False,0.0
1397,Speed,116.0,R,Action,very-high,high,10.0,high,30,7.2,False,False,51.0,0,False,False,0.0,30.0,3,False,False,2.0305652904761904
1398,Stargate,116.0,PG-13,Action,very-high,high,3.5739502181818184,high,30,7.1,False,False,39.0,1,False,False,1.578256434782609,43.0,7,True,False,1.9413264250340132
1399,The Little Rascals,82.0,PG,Comedy,mid,mid,2.926447043478261,mid,30,6.3,False,False,49.0,2,False,True,5.725537475,6.0,0,False,False,0.0
1400,Dumb and Dumber,107.0,PG-13,Comedy,very-high,mid,10.0,high,30,7.3,False,False,38.0,0,False,False,0.0,32.0,0,False,False,0.0
1401,Legends of the Fall,133.0,R,Drama,very-high,high,5.354629433333334,high,30,7.5,True,False,42.0,2,True,False,3.0260277483660127,31.0,2,False,False,0.2231593888888889
1402,Natural Born Killers,118.0,R,Action,very-high,high,1.4789283235294115,mid,30,7.3,False,False,48.0,7,True,False,4.2869883553998624,33.0,0,False,False,0.0
1403,The Crow,102.0,R,Action,very-high,mid,2.204049086956522,mid,30,7.6,True,False,31.0,0,False,False,0.0,29.0,1,False,False,1.4356479
