id,title,age_cat,rating_cat,genre_cat,runtime_cat,popularity_cat,score_cat,budget_cat,budget_efficiency_cat,director_age_cat,director_experience_cat,director_is_acclaimed,director_is_panned,director_efficiency_cat,star_age_cat,star_experience_cat,star_is_acclaimed,star_is_panned,star_efficiency_cat
1391,The Shawshank Redemption,very-old,R,Drama,long,very-high,very-high,mid,mid,adult,low,False,False,none,adult,low,True,False,mid
1392,Pulp Fiction,very-old,R,Crime,long,very-high,very-high,low,high,adult,low,True,False,mid,adult,high,True,True,mid
1393,Forrest Gump,very-old,PG-13,Drama,long,very-high,very-high,high,high,adult,high,True,False,high,adult,high,True,False,high
1394,True Lies,very-old,R,Action,long,very-high,high,very-high,high,adult,mid,True,False,high,adult,high,True,True,high
1395,The Lion King,very-old,G,Animation,short,very-high,very-high,high,high,adult,low,False,False,none,adult,high,True,False,high
1396,The Mask,very-old,PG-13,Action,medium,very-high,high,mid,high,adult,low,False,False,high,adult,low,False,False,none
1397,Speed,very-old,R,Action,medium,very-high,high,high,high,adult,low,False,False,none,adult,mid,False,False,mid
1398,Stargate,very-old,PG-13,Action,medium,very-high,high,high,high,adult,low,False,False,mid,adult,high,True,False,mid
1399,The Little Rascals,very-old,PG,Comedy,short,mid,low,mid,mid,adult,low,False,True,high,young,low,False,False,none
1400,Dumb and Dumber,very-old,PG-13,Comedy,medium,very-high,high,mid,high,adult,low,False,False,none,adult,low,False,False,none
1401,Legends of the Fall,very-old,R,Drama,long,very-high,very-high,high,high,adult,low,True,False,high,adult,low,False,False,low
1402,Natural Born Killers,very-old,R,Action,medium,very-high,high,high,mid,adult,high,True,False,high,adult,low,False,False,none
1403,The Crow,very-old,R,Action,medium,very-high,very-high,mid,mid,adult,low,False,False,none,young,low,False,False,mid
1404,Interview with the Vampire: the Vampire Chronicles,very-old,R,Drama,long,very-high,very-high,very-high,high,adult,mid,False,False,mid,adult,low,False,False,low
1405,Four Weddings and a Funeral,very-old,R,Comedy,medium,very-high,high,low,high,adult,low,False,False,none,adult,low,False,False,low
1406,The Flintstones,very-old,PG,Comedy,medium,high,very-low,high,high,adult,low,False,True,mid,adult,low,False,True,mid
1407,Ace Ventura: Pet Detective,very-old,PG-13,Comedy,short,very-high,high,mid,high,adult,low,False,False,none,adult,low,False,False,none
1408,Little Women,very-old,PG,Drama,medium,high,high,mid,mid,adult,low,False,False,low,adult,low,True,False,mid
1409,Street Fighter,very-old,PG-13,Action,medium,high,very-low,high,mid,adult,low,False,False,none,adult,high,False,True,high
1410,Clear and Present Danger,very-old,PG-13,Action,long,high,high,very-high,high,adult,mid,False,True,mid,adult,high,True,False,high
1411,Heavenly Creatures,very-old,R,Biography,medium,high,high,low,low,adult,low,True,False,low,young,low,False,False,none
1412,Clerks,very-old,R,Comedy,medium,very-high,very-high,low,high,young,low,False,False,none,young,low,False,False,none
1413,Maverick,very-old,PG,Action,long,very-high,high,very-high,mid,elderly,high,True,False,high,adult,high,True,False,high
1414,Wyatt Earp,very-old,PG-13,Adventure,long,mid,high,very-high,low,adult,low,False,False,high,adult,high,True,False,high
1415,The Last Seduction,very-old,R,Crime,medium,mid,high,low,mid,adult,low,False,False,low,adult,low,False,False,none
1416,Little Giants,very-old,PG,Comedy,medium,mid,high,mid,low,adult,low,False,False,none,adult,mid,False,True,high
1417,Ed Wood,very-old,R,Biography,long,very-high,very-high,mid,low,adult,mid,True,False,high,adult,mid,True,False,mid
1418,Star Trek: Generations,very-old,PG,Action,medium,high,high,high,high,adult,low,False,False,none,adult,low,False,False,none
1419,Disclosure,very-old,R,Drama,long,mid,low,high,high,adult,high,True,True,high,adult,high,True,False,high
1420,Angels in the Outfield,very-old,PG,Comedy,medium,mid,low,mid,mid,adult,low,False,False,high,adult,mid,True,False,mid
1421,In the Mouth of Madness,very-old,R,Drama,medium,high,high,low,mid,adult,high,True,False,high,adult,low,True,False,high
1422,Richie Rich,very-old,PG,Comedy,medium,high,very-low,high,low,adult,low,False,False,mid,young,mid,True,False,high
1423,Beverly Hills Cop III,very-old,R,Action,medium,high,low,high,mid,adult,high,True,False,mid,adult,high,True,False,high
1424,Reality Bites,very-old,PG-13,Comedy,medium,mid,high,mid,mid,young,low,False,False,none,young,low,True,False,low
1425,Naked Gun 33 1/3: the Final Insult,very-old,PG-13,Comedy,short,very-high,high,high,mid,adult,low,False,False,none,elderly,low,True,False,high
1426,Junior,very-old,PG-13,Comedy,medium,high,very-low,very-high,mid,adult,high,True,False,high,adult,high,True,True,high
1427,New Nightmare,very-old,R,Other,medium,high,high,low,mid,adult,mid,True,False,high,adult,low,True,False,high
1428,Baby's Day Out,very-old,PG,Adventure,medium,mid,low,high,low,adult,low,False,True,high,young,low,False,False,none
1429,The River Wild,very-old,PG-13,Adventure,medium,mid,high,high,mid,adult,mid,False,True,mid,adult,high,True,False,mid
1430,Texas Chainsaw Massacre: The Next Generation,very-old,R,Comedy,short,mid,very-low,low,low,adult,low,False,False,none,young,low,False,False,none
1431,The Next Karate Kid,very-old,PG,Action,medium,mid,very-low,mid,mid,adult,mid,False,False,mid,elderly,low,False,False,none
1432,Blown Away,very-old,R,Action,long,mid,low,mid,mid,adult,mid,False,True,mid,adult,high,True,False,mid
1433,Color of Night,very-old,R,Other,long,mid,very-low,high,low,elderly,low,False,False,mid,adult,high,True,False,mid
1434,North,very-old,PG,Adventure,short,mid,very-low,high,low,adult,high,True,False,high,young,low,False,False,high
1435,Muriel's Wedding,very-old,R,Comedy,medium,mid,high,low,mid,adult,low,False,False,none,young,low,False,False,none
1436,The Client,very-old,PG-13,Crime,medium,high,high,high,mid,adult,high,True,False,mid,adult,low,True,False,mid
