id,title,rating,genre,age,runtime,popularity,score,is_acclaimed,is_panned,budget_efficiency,is_blockbuster,is_indie,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
1,The Shining,R,Drama,44,long,very-high,8.4,True,False,mid,False,False,52.0,0,False,False,0.0,43.0,0,False,False,0.0
2,The Blue Lagoon,R,Adventure,44,medium,high,5.8,False,False,high,False,True,34.0,0,False,False,0.0,15.0,0,False,False,0.0
3,Star Wars: Episode V - The Empire Strikes Back,PG,Action,44,long,very-high,8.7,True,False,high,False,False,57.0,0,False,False,0.0,29.0,0,False,False,0.0
4,Airplane!,PG,Comedy,44,short,very-high,7.7,True,False,high,False,True,36.0,0,False,False,0.0,33.0,0,False,False,0.0
5,Caddyshack,R,Comedy,44,medium,very-high,7.3,False,False,high,False,True,36.0,0,False,False,0.0,37.0,0,False,False,0.0
6,Friday the 13th,R,Horror,44,medium,very-high,6.4,False,False,high,False,True,39.0,0,False,False,0.0,54.0,0,False,False,0.0
7,The Blues Brothers,R,Action,44,long,very-high,7.9,True,False,high,False,False,30.0,0,False,False,0.0,31.0,0,False,False,0.0
8,Raging Bull,R,Biography,44,long,very-high,8.2,True,False,mid,False,False,38.0,0,False,False,0.0,37.0,0,False,False,0.0
9,Superman II,PG,Action,44,long,very-high,6.8,False,False,mid,False,False,48.0,0,False,False,0.0,50.0,0,False,False,0.0
10,The Long Riders,R,Biography,44,medium,mid,7.0,False,False,mid,False,False,38.0,0,False,False,0.0,44.0,0,False,False,0.0
11,Any Which Way You Can,PG,Action,44,medium,mid,6.1,False,False,high,False,False,52.0,0,False,False,0.0,50.0,0,False,False,0.0
12,The Gods Must Be Crazy,PG,Adventure,44,medium,high,7.3,False,False,high,False,True,59.0,0,False,False,0.0,36.0,0,False,False,0.0
13,Popeye,PG,Adventure,44,medium,mid,5.3,False,True,mid,False,False,55.0,0,False,False,0.0,29.0,0,False,False,0.0
14,Ordinary People,R,Drama,44,long,mid,7.7,True,False,high,False,True,44.0,0,False,False,0.0,45.0,0,False,False,0.0
15,Dressed to Kill,R,Crime,44,medium,mid,7.1,False,False,high,False,True,40.0,0,False,False,0.0,47.0,0,False,False,0.0
16,Somewhere in Time,PG,Drama,44,medium,mid,7.2,False,False,mid,False,True,41.0,0,False,False,0.0,28.0,0,False,False,0.0
17,9 to 5,PG,Comedy,44,medium,mid,6.9,False,False,high,False,False,39.0,0,False,False,0.0,43.0,0,False,False,0.0
18,The Fog,R,Horror,44,short,high,6.8,False,False,high,False,True,32.0,0,False,False,0.0,35.0,0,False,False,0.0
19,Cruising,R,Crime,44,medium,mid,6.5,False,False,mid,False,False,45.0,0,False,False,0.0,40.0,0,False,False,0.0
20,Heaven's Gate,R,Adventure,44,long,mid,6.8,False,False,low,False,False,41.0,0,False,False,0.0,44.0,0,False,False,0.0
21,The Final Countdown,PG,Action,44,medium,mid,6.7,False,False,mid,False,False,60.0,0,False,False,0.0,64.0,0,False,False,0.0
22,Xanadu,PG,Other,44,medium,mid,5.3,False,True,mid,False,False,35.0,0,False,False,0.0,32.0,0,False,False,0.0
23,Brubaker,R,Crime,44,long,mid,7.2,False,False,high,False,True,53.0,0,False,False,0.0,44.0,0,False,False,0.0
24,American Gigolo,R,Crime,44,medium,mid,6.2,False,False,high,False,True,34.0,0,False,False,0.0,31.0,0,False,False,0.0
25,Cattle Annie and Little Britches,PG,Drama,44,medium,low,6.1,False,False,low,False,True,58.0,0,False,False,0.0,41.0,0,False,False,0.0
26,Private Benjamin,R,Comedy,44,medium,mid,6.2,False,False,high,False,False,53.0,0,False,False,0.0,35.0,0,False,False,0.0
27,The Hollywood Knights,R,Comedy,44,medium,low,6.3,False,False,mid,False,True,39.0,0,False,False,0.0,29.0,0,False,False,0.0
28,Motel Hell,R,Comedy,44,medium,mid,6.0,False,False,mid,False,True,43.0,0,False,False,0.0,58.0,0,False,False,0.0
29,The Stunt Man,R,Action,44,long,low,7.1,False,False,mid,False,True,51.0,0,False,False,0.0,48.0,0,False,False,0.0
30,The Island,R,Action,44,medium,low,5.3,False,True,low,False,False,42.0,0,False,False,0.0,47.0,0,False,False,0.0
