actor_name,actor_num_movies,actor_profit_mean,actor_profit_std,actor_score_mean,actor_score_std
Jack Nicholson,high,not-profitable,mid,mid-high,high
Brooke Shields,mid,profitable,high,mid-low,high
Mark Hamill,low,very-profitable,high,high,low
Robert Hays,mid,very-profitable,high,mid-low,high
Chevy Chase,high,profitable,mid,mid-low,high
Betsy Palmer,low,very-profitable,high,mid-low,low
John Belushi,low,profitable,low,mid-high,high
Robert De Niro,high,not-profitable,mid,mid-high,high
Gene Hackman,high,not-profitable,mid,mid-high,high
David Carradine,low,not-profitable,low,mid-high,low
Clint Eastwood,high,profitable,mid,mid-high,high
N!xau,low,very-profitable,low,mid-high,low
Robin Williams,high,very-profitable,high,mid-low,high
Donald Sutherland,mid,profitable,high,mid-high,high
Michael Caine,high,not-profitable,mid,mid-high,high
Christopher Reeve,mid,not-profitable,low,mid-low,high
Jane Fonda,mid,profitable,high,mid-low,mid
Adrienne Barbeau,low,very-profitable,high,mid-high,mid
Al Pacino,high,not-profitable,mid,mid-high,high
Kris Kristofferson,low,not-profitable,low,mid-high,low
Kirk Douglas,mid,profitable,mid,mid-high,high
Olivia Newton-John,low,not-profitable,low,low,low
Robert Redford,high,profitable,mid,mid-high,mid
Richard Gere,high,profitable,high,mid-low,mid
Scott Glenn,mid,not-profitable,mid,mid-low,low
Goldie Hawn,mid,profitable,high,mid-low,mid
Tony Danza,low,profitable,low,mid-low,low
Rory Calhoun,low,profitable,low,mid-low,low
Peter O'Toole,low,not-profitable,mid,mid-high,high
Don Adams,low,not-profitable,low,low,low
Woody Allen,high,not-profitable,low,mid-high,mid
Paul Le Mat,low,not-profitable,low,mid-high,low
Paul Newman,mid,not-profitable,mid,mid-high,high
Chuck Norris,high,profitable,mid,mid-low,mid
Elliott Gould,low,not-profitable,low,mid-low,low
Michael Ontkean,low,not-profitable,low,mid-low,low
Paul Michael Glaser,low,not-profitable,low,low,low
Harrison Ford,high,profitable,high,mid-high,high
David Naughton,low,profitable,low,high,low
Kurt Russell,high,not-profitable,mid,mid-high,high
Bruce Campbell,mid,profitable,high,high,low
Dan Monahan,mid,very-profitable,high,low,high
John Travolta,high,profitable,high,mid-low,high
Laurence Olivier,low,not-profitable,mid,low,high
Nigel Terry,low,profitable,low,high,low
Mel Gibson,high,profitable,mid,mid-high,mid
Bill Murray,high,very-profitable,high,mid-high,high
Burt Reynolds,high,not-profitable,mid,mid-low,mid
James Caan,mid,profitable,low,mid-high,high
Sean Connery,high,profitable,mid,mid-high,mid
Roger Moore,mid,profitable,low,mid-high,low
Jamie Lee Curtis,mid,very-profitable,high,mid-low,high
George C. Scott,low,profitable,low,mid-high,low
Warren Beatty,mid,not-profitable,mid,mid-low,high
Mickey Rooney,low,very-profitable,low,mid-high,low
Ben Cross,low,very-profitable,low,mid-high,low
Bo Derek,low,profitable,high,low,low
Dudley Moore,mid,profitable,high,mid-low,high
Mel Brooks,mid,not-profitable,mid,mid-high,mid
Dee Wallace,mid,very-profitable,high,mid-low,low
Peter MacNicol,low,not-profitable,low,mid-high,low
Jeff Bridges,high,not-profitable,mid,mid-high,mid
Everett McGill,low,not-profitable,low,mid-high,low
Sam Neill,mid,very-profitable,high,mid-high,high
Faye Dunaway,low,not-profitable,mid,mid-low,high
Sylvia Kristel,low,very-profitable,low,low,low
Maren Jensen,low,profitable,low,mid-low,low
William Hurt,mid,not-profitable,mid,mid-high,mid
Julie Andrews,low,profitable,high,mid-high,low
Catriona MacColl,low,not-profitable,low,mid-high,low
Frederic Forrest,low,not-profitable,low,mid-high,low
Sylvester Stallone,high,profitable,mid,mid-low,high
Albert Finney,low,not-profitable,low,mid-high,mid
Treat Williams,mid,not-profitable,low,mid-high,mid
Lauren Tewes,low,not-profitable,low,mid-low,low
George Segal,low,not-profitable,low,mid-low,low
Steve Martin,high,profitable,mid,mid-low,mid
Klinton Spilsbury,low,not-profitable,low,low,low
Lesley-Anne Down,low,not-profitable,low,low,low
Daniel Valdez,low,not-profitable,low,mid-high,low
Jack Lemmon,mid,not-profitable,low,mid-high,mid
Richard Pryor,mid,not-profitable,low,mid-low,mid
Andy Kaufman,low,not-profitable,low,low,low
Richard Dreyfuss,high,not-profitable,mid,mid-high,mid
Robert Duvall,mid,profitable,mid,mid-low,high
David Rasche,low,not-profitable,low,low,low
Harry Hamlin,low,not-profitable,low,mid-low,low
Sean Penn,high,profitable,mid,mid-high,high
Arnold Schwarzenegger,high,profitable,high,mid-low,high
Henry Thomas,low,very-profitable,low,high,low
Michelle Pfeiffer,mid,not-profitable,mid,mid-low,high
Aileen Quinn,low,not-profitable,low,mid-high,low
JoBeth Williams,low,very-profitable,high,mid-high,high
Nick Nolte,high,not-profitable,mid,mid-high,mid
William Shatner,mid,very-profitable,mid,mid-high,high
Meryl Streep,high,profitable,mid,mid-high,mid
Ben Kingsley,low,profitable,low,high,low
Dustin Hoffman,mid,very-profitable,high,mid-high,mid
Elizabeth Hartman,low,profitable,low,high,low
Marc Singer,low,not-profitable,mid,low,high
Hal Holbrook,low,profitable,low,mid-high,low
Bob Geldof,low,not-profitable,low,high,low
Nastassja Kinski,low,not-profitable,low,mid-low,low
Bertil Guve,low,not-profitable,low,high,low
Dana Kimmell,low,very-profitable,low,mid-low,low
Tom Atkins,low,profitable,high,mid-low,high
Jim Henson,low,profitable,low,mid-high,low
Christopher George,low,very-profitable,low,mid-low,low
Steve Guttenberg,mid,very-profitable,high,mid-low,mid
Barbara Hershey,low,not-profitable,low,mid-high,mid
Kate McNeil,low,very-profitable,low,mid-low,low
