actor,primaryName,birthYear,deathYear,knownForTitle,profession_1,profession_2
Jack Nicholson,Jack Nicholson,1937.0,0.0,Chinatown,actor,producer
Brooke Shields,Brooke Shields,1965.0,0.0,The Blue Lagoon,actress,producer
Mark Hamill,Mark Hamill,1951.0,0.0,Star Wars: Episode IV - A New Hope,actor,producer
Robert Hays,Robert Hays,1947.0,0.0,Airplane!,actor,producer
Chevy Chase,Chevy Chase,1943.0,0.0,Memoirs of an Invisible Man,actor,writer
Betsy Palmer,Betsy Palmer,1926.0,2015.0,Friday the 13th,actress,miscellaneous
John Belushi,John Belushi,1949.0,1982.0,Saturday Night Live,actor,writer
Robert De Niro,Robert De Niro,1943.0,0.0,Cape Fear,actor,producer
Gene Hackman,Gene Hackman,1930.0,0.0,The French Connection,actor,producer
David Carradine,David Carradine,1936.0,2009.0,Kill Bill: Vol. 2,actor,producer
Clint Eastwood,Clint Eastwood,1930.0,0.0,Million Dollar Baby,actor,producer
N!xau,N!xau,1944.0,2003.0,The Gods Must Be Crazy,actor,archive_footage
Robin Williams,Robin Williams,1951.0,2014.0,Mrs. Doubtfire,actor,writer
Robin Williams,Robin Williams,1982.0,0.0,Star Trek,miscellaneous,visual_effects
Robin Williams,Robin Williams,1988.0,0.0,Stiffs,editor,cinematographer
Donald Sutherland,Donald Sutherland,1935.0,0.0,The Hunger Games: Catching Fire,actor,producer
Michael Caine,Michael Caine,1933.0,0.0,The Dark Knight,actor,producer
Christopher Reeve,Christopher Reeve,1952.0,2004.0,Superman,actor,producer
Jane Fonda,Jane Fonda,1937.0,0.0,Klute,actress,producer
Adrienne Barbeau,Adrienne Barbeau,1945.0,0.0,Escape from New York,actress,soundtrack
Al Pacino,Al Pacino,1940.0,0.0,Serpico,actor,director
Kris Kristofferson,Kris Kristofferson,1936.0,0.0,Blade,music_artist,actor
Kirk Douglas,Kirk Douglas,1916.0,2020.0,The Final Countdown,actor,producer
Kirk Douglas,Kirk Douglas,1967.0,0.0,Catwoman,special_effects,music_department
Olivia Newton-John,Olivia Newton-John,1948.0,2022.0,Grease,music_artist,actress
Robert Redford,Robert Redford,1936.0,0.0,The Natural,producer,actor
Richard Gere,Richard Gere,1949.0,0.0,Chicago,actor,producer
Scott Glenn,Scott Glenn,1939.0,0.0,The Hunt for Red October,actor,producer
Goldie Hawn,Goldie Hawn,1945.0,0.0,Private Benjamin,actress,producer
Tony Danza,Tony Danza,1951.0,0.0,Don Jon,actor,producer
Rory Calhoun,Rory Calhoun,1922.0,1999.0,Motel Hell,actor,producer
Rory Calhoun,Rory Calhoun,1934.0,1988.0,Mannix,actor,
Peter O'Toole,Peter O'Toole,1932.0,2013.0,Lawrence of Arabia,actor,producer
Peter O'Toole,Peter O'Toole,1965.0,0.0,The Boxer,actor,music_department
Don Adams,Don Adams,1923.0,2005.0,Get Smart,actor,director
Don Adams,Don Adams,1942.0,2014.0,Von uns für Sie,actor,
Woody Allen,Woody Allen,1935.0,0.0,Annie Hall,writer,director
Paul Le Mat,Paul Le Mat,1945.0,0.0,American Graffiti,actor,cinematographer
Paul Newman,Paul Newman,1925.0,2008.0,The Hustler,actor,producer
Paul Newman,Paul Newman,1962.0,0.0,Prisoner,actor,
Chuck Norris,Chuck Norris,1940.0,0.0,"Walker, Texas Ranger",actor,music_department
Elliott Gould,Elliott Gould,1938.0,0.0,M*A*S*H,actor,producer
Michael Ontkean,Michael Ontkean,1946.0,0.0,Slap Shot,actor,archive_footage
Paul Michael Glaser,Paul Michael Glaser,1943.0,0.0,Starsky and Hutch,actor,producer
Harrison Ford,Harrison Ford,1942.0,0.0,Raiders of the Lost Ark,actor,writer
Harrison Ford,Harrison Ford,1884.0,1957.0,Proud Flesh,actor,archive_footage
David Naughton,David Naughton,1951.0,0.0,An American Werewolf in London,actor,music_department
Kurt Russell,Kurt Russell,1951.0,0.0,Escape from New York,actor,producer
Bruce Campbell,Bruce Campbell,1958.0,0.0,Bubba Ho-Tep,actor,producer
Bruce Campbell,Bruce Campbell,1932.0,1996.0,Monkey House,producer,director
Dan Monahan,Dan Monahan,1955.0,0.0,Porky's,actor,
John Travolta,John Travolta,1954.0,0.0,Pulp Fiction,actor,producer
Laurence Olivier,Laurence Olivier,1907.0,1989.0,Sleuth,actor,producer
Nigel Terry,Nigel Terry,1945.0,2015.0,Excalibur,actor,archive_footage
Mel Gibson,Mel Gibson,1956.0,0.0,Braveheart,actor,producer
Bill Murray,Bill Murray,1950.0,0.0,Lost in Translation,actor,writer
Burt Reynolds,Burt Reynolds,1936.0,2018.0,Boogie Nights,actor,director
James Caan,James Caan,1940.0,2022.0,Thief,actor,director
Sean Connery,Sean Connery,1930.0,2020.0,The Rock,actor,producer
Roger Moore,Roger Moore,1927.0,2017.0,Moonraker,actor,miscellaneous
Roger Moore,Roger Moore,1900.0,1999.0,The Shadow,actor,archive_footage
Roger Moore,Roger Moore,1965.0,0.0,Get Rich or Die Tryin',actor,
Jamie Lee Curtis,Jamie Lee Curtis,1958.0,0.0,Halloween,actress,producer
George C. Scott,George C. Scott,1927.0,1999.0,Patton,actor,director
Warren Beatty,Warren Beatty,1937.0,0.0,Reds,actor,producer
Mickey Rooney,Mickey Rooney,1920.0,2014.0,It's a Mad Mad Mad Mad World,actor,producer
Ben Cross,Ben Cross,1947.0,2020.0,Star Trek,actor,producer
Bo Derek,Bo Derek,1956.0,0.0,Bolero,actress,producer
Dudley Moore,Dudley Moore,1935.0,2002.0,Arthur,actor,writer
Mel Brooks,Mel Brooks,1926.0,0.0,Spaceballs,actor,writer
Dee Wallace,Dee Wallace,1948.0,0.0,E.T. the Extra-Terrestrial,actress,producer
Peter MacNicol,Peter MacNicol,1954.0,0.0,Sophie's Choice,actor,director
Jeff Bridges,Jeff Bridges,1949.0,0.0,The Big Lebowski,actor,producer
Everett McGill,Everett McGill,1945.0,0.0,Twin Peaks,actor,soundtrack
Sam Neill,Sam Neill,1947.0,0.0,Jurassic Park,actor,producer
Faye Dunaway,Faye Dunaway,1941.0,0.0,Network,actress,producer
Sylvia Kristel,Sylvia Kristel,1952.0,2012.0,The Concorde... Airport '79,actress,director
Maren Jensen,Maren Jensen,1956.0,0.0,Battlestar Galactica,actress,production_designer
William Hurt,William Hurt,1950.0,2022.0,A History of Violence,actor,producer
Julie Andrews,Julie Andrews,1935.0,0.0,The Sound of Music,actress,writer
Catriona MacColl,Catriona MacColl,1954.0,0.0,A Good Year,actress,archive_footage
Frederic Forrest,Frederic Forrest,1936.0,2023.0,Apocalypse Now,actor,soundtrack
Sylvester Stallone,Sylvester Stallone,1946.0,0.0,Rocky,actor,writer
Albert Finney,Albert Finney,1936.0,2019.0,Murder on the Orient Express,actor,producer
Treat Williams,Treat Williams,1951.0,2023.0,Deep Rising,actor,director
Lauren Tewes,Lauren Tewes,1953.0,0.0,The Love Boat,actress,soundtrack
George Segal,George Segal,1934.0,2021.0,Who's Afraid of Virginia Woolf?,actor,producer
George Segal,George Segal,1924.0,2000.0,Unstrap Me,actor,
Steve Martin,Steve Martin,1945.0,0.0,Roxanne,writer,actor
Steve Martin,Steve Martin,1915.0,1991.0,The Dude Martin Show,actor,
Steve Martin,Steve Martin,1947.0,0.0,12 Monkeys,miscellaneous,stunts
Steve Martin,Steve Martin,1964.0,0.0,9-1-1,miscellaneous,writer
Steve Martin,Steve Martin,1948.0,2020.0,La case de l'oncle Doc,music_department,soundtrack
Steve Martin,Steve Martin,1960.0,0.0,The 7.30 Report,archive_footage,
Klinton Spilsbury,Klinton Spilsbury,1950.0,0.0,The Legend of the Lone Ranger,actor,archive_footage
Lesley-Anne Down,Lesley-Anne Down,1954.0,0.0,"North & South: Book 1, North & South",actress,writer
Daniel Valdez,Daniel Valdez,1949.0,0.0,La Bamba,actor,composer
Jack Lemmon,Jack Lemmon,1925.0,2001.0,The Apartment,actor,producer
Richard Pryor,Richard Pryor,1940.0,2005.0,Superman III,actor,writer
Andy Kaufman,Andy Kaufman,1949.0,1984.0,Taxi,actor,writer
Richard Dreyfuss,Richard Dreyfuss,1947.0,0.0,The Goodbye Girl,actor,producer
Robert Duvall,Robert Duvall,1931.0,0.0,The Apostle,actor,producer
David Rasche,David Rasche,1944.0,0.0,In the Loop,actor,soundtrack
Harry Hamlin,Harry Hamlin,1951.0,0.0,Clash of the Titans,actor,producer
Sean Penn,Sean Penn,1960.0,0.0,Mystic River,actor,producer
Arnold Schwarzenegger,Arnold Schwarzenegger,1947.0,0.0,Terminator 2: Judgment Day,actor,producer
Henry Thomas,Henry Thomas,1971.0,0.0,E.T. the Extra-Terrestrial,actor,producer
Michelle Pfeiffer,Michelle Pfeiffer,1958.0,0.0,The Fabulous Baker Boys,actress,producer
Aileen Quinn,Aileen Quinn,1971.0,0.0,Annie,actress,soundtrack
JoBeth Williams,JoBeth Williams,1948.0,0.0,Poltergeist,actress,producer
Nick Nolte,Nick Nolte,1941.0,0.0,Warrior,actor,producer
William Shatner,William Shatner,1931.0,0.0,Star Trek V: The Final Frontier,actor,producer
Meryl Streep,Meryl Streep,1949.0,0.0,Out of Africa,actress,writer
Ben Kingsley,Ben Kingsley,1943.0,0.0,Sexy Beast,actor,producer
Dustin Hoffman,Dustin Hoffman,1937.0,0.0,Tootsie,actor,producer
Elizabeth Hartman,Elizabeth Hartman,1943.0,1987.0,A Patch of Blue,actress,writer
Marc Singer,Marc Singer,1948.0,0.0,The Beastmaster,actor,director
Hal Holbrook,Hal Holbrook,1925.0,2021.0,Into the Wild,actor,director
Bob Geldof,Bob Geldof,1951.0,0.0,Pink Floyd: The Wall,actor,composer
Nastassja Kinski,Nastassja Kinski,1961.0,0.0,Tess,actress,producer
Bertil Guve,Bertil Guve,1970.0,0.0,Fanny and Alexander,actor,archive_footage
Dana Kimmell,Dana Kimmell,1959.0,0.0,Friday the 13th: Part 3,actress,miscellaneous
Tom Atkins,Tom Atkins,1935.0,0.0,Halloween III: Season of the Witch,actor,archive_footage
Jim Henson,Jim Henson,1936.0,1990.0,The Muppet Show,actor,writer
Christopher George,Christopher George,1931.0,1983.0,El Dorado,actor,archive_footage
Steve Guttenberg,Steve Guttenberg,1958.0,0.0,Three Men and a Baby,actor,producer
Barbara Hershey,Barbara Hershey,1948.0,0.0,Black Swan,actress,soundtrack
Kate McNeil,Kate McNeil,1959.0,0.0,Monkey Shines,actress,archive_footage
Peter Ustinov,Peter Ustinov,1921.0,2004.0,Spartacus,actor,writer
Charles Bronson,Charles Bronson,1921.0,2003.0,Death Wish,actor,archive_footage
Charles Bronson,Charles Bronson,1952.0,0.0,Mob Handed,actor,archive_sound
Barry Bostwick,Barry Bostwick,1945.0,0.0,The Rocky Horror Picture Show,actor,producer
Mariel Hemingway,Mariel Hemingway,1961.0,0.0,Manhattan,actress,producer
James Olson,James Olson,1930.0,2022.0,The Andromeda Strain,actor,soundtrack
John Cassavetes,John Cassavetes,1929.0,1989.0,Rosemary's Baby,actor,director
Roy Scheider,Roy Scheider,1932.0,2008.0,Jaws,actor,producer
Robert Glaudini,,,,,,
Cher,Cher,1946.0,0.0,Moonstruck,music_artist,actress
Lewis Collins,Lewis Collins,1946.0,2013.0,Jack the Ripper,actor,archive_footage
Peter Sellers,Peter Sellers,1925.0,1980.0,Being There,actor,writer
Jon Voight,Jon Voight,1938.0,0.0,Midnight Cowboy,actor,producer
Willie Nelson,Willie Nelson,1933.0,0.0,The Dukes of Hazzard,music_artist,actor
Ken Wahl,Ken Wahl,1954.0,0.0,Wiseguy,actor,producer
Mark Blankfield,Mark Blankfield,1950.0,0.0,Robin Hood: Men in Tights,actor,writer
John Hurt,John Hurt,1940.0,2017.0,1984,actor,soundtrack
Toni Attell,Toni Attell,1948.0,0.0,Babylon 5,actress,
Bette Midler,Bette Midler,1945.0,0.0,Beaches,actress,producer
Ryan O'Neal,Ryan O'Neal,1941.0,2023.0,Love Story,actor,producer
Luciano Pavarotti,Luciano Pavarotti,1935.0,2007.0,"Yes, Giorgio",actor,director
C. Thomas Howell,C. Thomas Howell,1966.0,0.0,The Outsiders,actor,producer
Tom Cruise,Tom Cruise,1962.0,0.0,Top Gun,actor,producer
Eddie Murphy,Eddie Murphy,1961.0,0.0,The Nutty Professor,actor,writer
Tom Berenger,Tom Berenger,1949.0,0.0,Inception,actor,producer
Dennis Quaid,Dennis Quaid,1954.0,0.0,Far from Heaven,actor,producer
Keith Gordon,Keith Gordon,1961.0,0.0,A Midnight Clear,director,actor
Jennifer Beals,Jennifer Beals,1963.0,0.0,Flashdance,actress,producer
Matthew Broderick,Matthew Broderick,1962.0,0.0,The Producers,actor,director
Sam Shepard,Sam Shepard,1943.0,2017.0,August: Osage County,actor,writer
Ken Marshall,Ken Marshall,1950.0,0.0,Krull,actor,archive_footage
Ken Marshall,Ken Marshall,1922.0,1997.0,The Gods Must Be Crazy II,actor,
Christopher Walken,Christopher Walken,1943.0,0.0,The Deer Hunter,actor,producer
Phoebe Cates,Phoebe Cates,1963.0,0.0,Fast Times at Ridgemont High,actress,soundtrack
Nicolas Cage,Nicolas Cage,1964.0,0.0,Face/Off,actor,producer
Matt Dillon,Matt Dillon,1964.0,0.0,There's Something About Mary,actor,director
James Woods,James Woods,1947.0,0.0,Vampires,actor,producer
Shirley MacLaine,Shirley MacLaine,1934.0,0.0,Terms of Endearment,actress,writer
Dan Aykroyd,Dan Aykroyd,1952.0,0.0,Ghostbusters,writer,actor
Peter Billingsley,Peter Billingsley,1971.0,0.0,A Christmas Story,producer,actor
Anthony Perkins,Anthony Perkins,1932.0,1992.0,Psycho,actor,director
Barbra Streisand,Barbra Streisand,1942.0,0.0,Yentl,music_artist,actress
Randy Norton,,,,,,
Graham Chapman,Graham Chapman,1941.0,1989.0,Monty Python and the Holy Grail,writer,actor
John Cleese,John Cleese,1939.0,0.0,A Fish Called Wanda,actor,writer
Rick Hill,Rick Hill,1953.0,0.0,Cheers,actor,director
Jason Robards,Jason Robards,1922.0,2000.0,All the President's Men,actor,soundtrack
Peter Keleghan,Peter Keleghan,1959.0,0.0,Ginger Snaps,actor,writer
Cliff Gorman,Cliff Gorman,1936.0,2002.0,All That Jazz,actor,archive_footage
Mary Beth McDonough,Mary Beth McDonough,1961.0,0.0,The Waltons,actress,writer
Linda Blair,Linda Blair,1959.0,0.0,The Exorcist,actress,producer
Peter Strauss,Peter Strauss,1947.0,0.0,xXx: State of the Union,actor,producer
Peter Strauss,Peter Strauss,1923.0,2012.0,The Century of the Self,archive_footage,
Tom Selleck,Tom Selleck,1945.0,0.0,Blue Bloods,actor,producer
Don Francks,Don Francks,1932.0,2016.0,Heavy Metal,actor,writer
Lou Ferrigno,Lou Ferrigno,1951.0,0.0,The Incredible Hulk,actor,producer
Tony Roberts,Tony Roberts,1939.0,0.0,"Play It Again, Sam",actor,soundtrack
Rutger Hauer,Rutger Hauer,1944.0,2019.0,Hobo with a Shotgun,actor,producer
Shô Kosugi,Shô Kosugi,1948.0,0.0,Ninja Assassin,actor,miscellaneous
Peter Weller,Peter Weller,1947.0,0.0,RoboCop,actor,director
David Niven,David Niven,1910.0,1983.0,Murder by Death,actor,producer
Max Gail,Max Gail,1943.0,0.0,42,actor,director
Walter Matthau,Walter Matthau,1920.0,2000.0,The Odd Couple,actor,director
Pia Zadora,Pia Zadora,1954.0,0.0,The Lonely Lady,actress,soundtrack
Cristina Raines,Cristina Raines,1952.0,0.0,Nashville,actress,producer
Rosanna Arquette,Rosanna Arquette,1959.0,0.0,Pulp Fiction,actress,producer
Malcolm McDowell,Malcolm McDowell,1943.0,0.0,A Clockwork Orange,actor,producer
Tommy Lee Jones,Tommy Lee Jones,1946.0,0.0,The Fugitive,actor,director
Martin Yost,,,,,,
Linda Griffiths,Linda Griffiths,1953.0,2014.0,Lianna,actress,writer
Robby Benson,Robby Benson,1956.0,0.0,Beauty and the Beast,actor,director
Margot Kidder,Margot Kidder,1948.0,2018.0,Superman,actress,producer
