director_name,director_num_movies,director_profit_mean,director_profit_std,director_score_mean,director_score_std
Stanley Kubrick,mid,profitable,low,high,mid
Randal Kleiser,mid,very-profitable,high,mid-low,high
Irvin Kershner,mid,very-profitable,high,mid-high,high
Jim Abrahams,mid,very-profitable,high,mid-high,high
Harold Ramis,high,profitable,mid,mid-low,high
Sean S. Cunningham,low,very-profitable,high,mid-low,high
John Landis,high,profitable,mid,mid-high,high
Martin Scorsese,high,not-profitable,mid,high,mid
Richard Lester,mid,not-profitable,low,mid-low,high
Walter Hill,high,not-profitable,mid,mid-low,mid
Buddy Van Horn,mid,profitable,mid,mid-low,mid
Jamie Uys,low,very-profitable,low,mid-high,low
Robert Altman,high,not-profitable,mid,mid-low,high
Robert Redford,high,profitable,high,mid-high,mid
Brian De Palma,high,not-profitable,mid,mid-high,high
Jeannot Szwarc,mid,not-profitable,low,mid-low,high
Colin Higgins,low,very-profitable,high,mid-high,mid
John Carpenter,high,profitable,high,mid-high,high
William Friedkin,high,not-profitable,low,mid-low,high
Michael Cimino,mid,not-profitable,low,mid-low,high
Don Taylor,low,not-profitable,low,mid-high,low
Robert Greenwald,low,not-profitable,low,low,low
Stuart Rosenberg,low,profitable,mid,mid-high,mid
Paul Schrader,mid,not-profitable,mid,mid-low,high
Lamont Johnson,low,not-profitable,low,mid-low,mid
Howard Zieff,mid,profitable,mid,mid-high,mid
Floyd Mutrux,low,not-profitable,mid,mid-low,low
Kevin Connor,low,profitable,low,mid-low,low
Richard Rush,low,not-profitable,mid,mid-low,high
Michael Ritchie,mid,profitable,mid,mid-low,mid
Clive Donner,low,not-profitable,low,low,low
Woody Allen,high,not-profitable,mid,mid-high,mid
Jonathan Demme,high,profitable,high,mid-high,high
Clint Eastwood,high,profitable,mid,mid-high,high
James Goldstone,low,not-profitable,low,low,low
Joe Camp,low,not-profitable,low,low,low
Eric Karson,low,very-profitable,low,low,low
Charles Jarrott,low,not-profitable,low,mid-low,low
Paul Mazursky,mid,not-profitable,mid,mid-low,low
John Huston,mid,not-profitable,low,mid-low,high
Steven Spielberg,high,very-profitable,high,high,mid
Sam Raimi,high,profitable,mid,mid-high,mid
Bob Clark,mid,very-profitable,high,low,high
Desmond Davis,low,profitable,low,mid-high,low
John Boorman,mid,not-profitable,mid,mid-high,mid
George Miller,high,profitable,mid,mid-high,high
Ivan Reitman,high,very-profitable,high,mid-low,high
Hal Needham,mid,not-profitable,mid,low,high
Michael Mann,high,not-profitable,mid,mid-high,high
Terry Gilliam,high,profitable,mid,mid-high,high
Steve Miner,mid,very-profitable,high,mid-low,mid
John Glen,mid,profitable,mid,mid-low,high
Rick Rosenthal,low,very-profitable,high,low,high
Harold Becker,mid,profitable,mid,mid-low,mid
Warren Beatty,mid,not-profitable,mid,mid-high,high
Directors,high,profitable,mid,mid-high,high
Hugh Hudson,mid,very-profitable,high,mid-low,high
Sydney Pollack,mid,profitable,high,mid-high,high
John Derek,low,profitable,high,low,low
Steve Gordon,low,very-profitable,low,mid-high,low
Mel Brooks,mid,not-profitable,mid,mid-high,mid
Joe Dante,high,very-profitable,high,mid-high,mid
Matthew Robbins,mid,not-profitable,mid,mid-low,high
Ivan Passer,low,not-profitable,low,mid-high,low
Jean-Jacques Annaud,mid,not-profitable,low,mid-high,low
Graham Baker,mid,profitable,mid,mid-low,mid
Frank Perry,low,profitable,low,mid-high,low
Alan Myerson,low,very-profitable,low,low,low
Bob Rafelson,mid,not-profitable,low,mid-low,high
Wes Craven,high,very-profitable,high,mid-low,high
Peter Yates,mid,not-profitable,low,mid-low,low
Peter Hyams,high,not-profitable,mid,mid-low,high
Blake Edwards,high,not-profitable,low,mid-low,high
Lucio Fulci,low,not-profitable,low,mid-high,low
Francis Ford Coppola,high,not-profitable,mid,mid-high,mid
Ulu Grosbard,mid,not-profitable,low,mid-high,low
Bruce Malmuth,low,very-profitable,low,mid-low,mid
John G. Avildsen,mid,profitable,high,mid-high,high
Michael Wadleigh,low,not-profitable,low,mid-low,low
Sidney Lumet,high,not-profitable,mid,mid-high,high
Ken Wiederhorn,low,not-profitable,low,mid-low,low
Steve Rash,low,not-profitable,low,low,low
Michael Schultz,mid,profitable,mid,mid-low,mid
Ken Shapiro,low,profitable,low,low,low
Herbert Ross,mid,very-profitable,high,mid-high,mid
William A. Fraker,low,not-profitable,low,low,low
Franklin J. Schaffner,low,not-profitable,low,low,high
Luis Valdez,low,very-profitable,high,mid-high,low
Billy Wilder,low,not-profitable,low,mid-high,low
Oz Scott,low,profitable,low,mid-low,low
Allan Arkush,mid,not-profitable,low,low,high
Gus Trikonis,low,very-profitable,low,low,low
John Badham,mid,profitable,mid,mid-high,mid
Terence Young,low,not-profitable,low,low,low
Jean-Claude Tramont,low,not-profitable,low,mid-low,low
Roger Spottiswoode,high,not-profitable,mid,mid-low,high
Alan J. Pakula,mid,profitable,high,mid-high,high
John Schlesinger,mid,not-profitable,low,mid-low,high
Noel Nosseck,low,not-profitable,low,mid-low,low
Amy Heckerling,mid,very-profitable,high,mid-low,high
Ridley Scott,high,profitable,mid,mid-high,high
John Milius,mid,not-profitable,mid,mid-low,mid
Ted Kotcheff,mid,profitable,high,mid-high,high
Taylor Hackford,high,profitable,high,mid-high,high
Patricia Birch,low,not-profitable,low,low,low
Tobe Hooper,mid,profitable,high,mid-low,high
Nicholas Meyer,mid,profitable,high,mid-high,high
Richard Attenborough,mid,not-profitable,low,mid-high,mid
Steven Lisberger,low,not-profitable,low,mid-high,low
Don Bluth,mid,not-profitable,mid,mid-high,mid
Sylvester Stallone,mid,very-profitable,high,mid-high,high
