director,primaryName,birthYear,deathYear,knownForTitle,profession_1,profession_2
Stanley Kubrick,Stanley Kubrick,1928.0,1999.0,2001: A Space Odyssey,director,writer
Randal Kleiser,Randal Kleiser,1946.0,0.0,Grease,director,writer
Irvin Kershner,Irvin Kershner,1923.0,2010.0,Star Wars: Episode V - The Empire Strikes Back,director,cinematographer
Jim Abrahams,Jim Abrahams,1944.0,0.0,Airplane!,writer,producer
Harold Ramis,Harold Ramis,1944.0,2014.0,Ghostbusters,writer,actor
Sean S. Cunningham,Sean S. Cunningham,1941.0,0.0,Friday the 13th,producer,writer
John Landis,John Landis,1950.0,0.0,The Blues Brothers,producer,director
Martin Scorsese,Martin Scorsese,1942.0,0.0,Killers of the Flower Moon,producer,director
Richard Lester,Richard Lester,1932.0,0.0,A Hard Day's Night,director,producer
Richard Lester,Richard Lester,1948.0,2023.0,Deliver Us from Evil,producer,actor
Walter Hill,Walter Hill,1942.0,0.0,48 Hrs.,producer,writer
Buddy Van Horn,Buddy Van Horn,1928.0,2021.0,High Plains Drifter,stunts,actor
Jamie Uys,Jamie Uys,1921.0,1996.0,The Gods Must Be Crazy,director,writer
Robert Altman,Robert Altman,1925.0,2006.0,Gosford Park,director,producer
Robert Altman,Robert Altman,1944.0,2021.0,"Hair, Let the Sun Shine In",miscellaneous,
Robert Altman,Robert Altman,1947.0,2021.0,Dishonored,miscellaneous,executive
Robert Redford,Robert Redford,1936.0,0.0,The Natural,producer,actor
Brian De Palma,Brian De Palma,1940.0,0.0,Body Double,director,writer
Jeannot Szwarc,Jeannot Szwarc,1939.0,0.0,Somewhere in Time,director,producer
Colin Higgins,Colin Higgins,1941.0,1988.0,9 to 5,writer,director
John Carpenter,John Carpenter,1948.0,0.0,The Fog,music_department,writer
William Friedkin,William Friedkin,1935.0,2023.0,To Live and Die in L.A.,director,writer
Michael Cimino,Michael Cimino,1939.0,2016.0,The Deer Hunter,director,writer
Michael Cimino,Michael Cimino,1999.0,0.0,"Love, Victor",actor,producer
Don Taylor,Don Taylor,1920.0,1998.0,Stalag 17,director,actor
Don Taylor,Don Taylor,1947.0,0.0,The Truman Show,actor,
Don Taylor,Don Taylor,1936.0,2003.0,Omnibus,director,writer
Don Taylor,Don Taylor,1959.0,0.0,NHL 2002,actor,
Robert Greenwald,Robert Greenwald,1945.0,0.0,Xanadu,producer,director
Stuart Rosenberg,Stuart Rosenberg,1927.0,2007.0,Cool Hand Luke,director,producer
Stuart Rosenberg,Stuart Rosenberg,1928.0,0.0,The Optimists,composer,
Paul Schrader,Paul Schrader,1946.0,0.0,First Reformed,writer,director
Lamont Johnson,Lamont Johnson,1922.0,2010.0,Wallenberg: A Hero's Story,director,actor
Lamont Johnson,Lamont Johnson,1941.0,0.0,Thunderfist,composer,soundtrack
Howard Zieff,Howard Zieff,1927.0,2009.0,The Main Event,director,producer
Floyd Mutrux,Floyd Mutrux,1941.0,0.0,Dick Tracy,writer,producer
Kevin Connor,Kevin Connor,1937.0,0.0,Motel Hell,director,sound_department
Richard Rush,Richard Rush,1929.0,2021.0,The Stunt Man,director,writer
Michael Ritchie,Michael Ritchie,1938.0,2001.0,The Golden Child,director,producer
Michael Ritchie,Michael Ritchie,1957.0,0.0,Genesi: The First Key,cinematographer,miscellaneous
Clive Donner,Clive Donner,1926.0,2010.0,The Guest,director,editor
Woody Allen,Woody Allen,1935.0,0.0,Annie Hall,writer,director
Jonathan Demme,Jonathan Demme,1944.0,2017.0,The Silence of the Lambs,director,producer
Clint Eastwood,Clint Eastwood,1930.0,0.0,Million Dollar Baby,actor,producer
James Goldstone,James Goldstone,1931.0,1999.0,Kent State,director,writer
Joe Camp,Joe Camp,1939.0,2024.0,Oh Heavenly Dog,writer,director
Joe Camp,Joe Camp,1946.0,0.0,The Hunger Games,miscellaneous,producer
Eric Karson,,,,,,
Charles Jarrott,Charles Jarrott,1927.0,2011.0,The Secret Life of Algernon,director,actor
Paul Mazursky,Paul Mazursky,1930.0,2014.0,An Unmarried Woman,actor,writer
John Huston,John Huston,1906.0,1987.0,The Treasure of the Sierra Madre,actor,director
Steven Spielberg,Steven Spielberg,1946.0,0.0,Schindler's List,producer,writer
Sam Raimi,Sam Raimi,1959.0,0.0,Spider-Man,producer,writer
Bob Clark,Bob Clark,1939.0,2007.0,A Christmas Story,director,writer
Bob Clark,Bob Clark,1889.0,1971.0,The Man from Morocco,make_up_department,
Desmond Davis,Desmond Davis,1926.0,2021.0,Time Lost and Time Remembered,camera_department,director
Desmond Davis,Desmond Davis,1907.0,1959.0,Lilli Palmer Theatre,producer,director
John Boorman,John Boorman,1933.0,0.0,Hope and Glory,producer,director
George Miller,George Miller,1943.0,2023.0,The Man from Snowy River,director,producer
George Miller,George Miller,1945.0,0.0,Mad Max: Fury Road,producer,writer
George Miller,George Miller,1903.0,0.0,The Parting of the Trails,actor,archive_footage
George Miller,George Miller,1941.0,2003.0,David Letterman: Looking for Fun,actor,archive_footage
Ivan Reitman,Ivan Reitman,1946.0,2022.0,Up in the Air,producer,miscellaneous
Hal Needham,Hal Needham,1931.0,2013.0,The Cannonball Run,stunts,actor
Michael Mann,Michael Mann,1943.0,0.0,The Insider,producer,writer
Michael Mann,Michael Mann,1986.0,0.0,The Cold Light of Day,miscellaneous,writer
Michael Mann,Michael Mann,1983.0,0.0,Snow White and the Huntsman,miscellaneous,production_manager
Terry Gilliam,Terry Gilliam,1940.0,0.0,Brazil,director,writer
Steve Miner,Steve Miner,1951.0,0.0,House,director,producer
John Glen,John Glen,1932.0,0.0,The Living Daylights,editor,director
Rick Rosenthal,Rick Rosenthal,1949.0,0.0,Bad Boys,director,producer
Harold Becker,Harold Becker,1928.0,0.0,Malice,director,producer
Warren Beatty,Warren Beatty,1937.0,0.0,Reds,actor,producer
Directors,,,,,,
Hugh Hudson,Hugh Hudson,1936.0,2023.0,Chariots of Fire,director,producer
Sydney Pollack,Sydney Pollack,1934.0,2008.0,Tootsie,director,producer
John Derek,John Derek,1926.0,1998.0,The Ten Commandments,actor,director
Steve Gordon,Steve Gordon,1938.0,1982.0,Arthur,writer,director
Mel Brooks,Mel Brooks,1926.0,0.0,Spaceballs,actor,writer
Joe Dante,Joe Dante,1946.0,0.0,Innerspace,director,producer
Matthew Robbins,Matthew Robbins,1945.0,0.0,Guillermo del Toro's Pinocchio,writer,director
Ivan Passer,Ivan Passer,1933.0,2020.0,Intimate Lighting,director,writer
Jean-Jacques Annaud,Jean-Jacques Annaud,1943.0,0.0,The Name of the Rose,director,producer
Graham Baker,Graham Baker,1938.0,0.0,Alien Nation,director,writer
Graham Baker,Graham Baker,1951.0,0.0,Goodbye Christopher Robin,camera_department,art_department
Frank Perry,Frank Perry,1930.0,1995.0,Mommie Dearest,director,producer
Frank Perry,Frank Perry,1925.0,2009.0,Marvel Super Heroes,actor,archive_footage
Alan Myerson,Alan Myerson,1936.0,0.0,The Larry Sanders Show,director,actor
Bob Rafelson,Bob Rafelson,1933.0,2022.0,Five Easy Pieces,producer,director
Wes Craven,Wes Craven,1939.0,2015.0,A Nightmare on Elm Street,writer,producer
Peter Yates,Peter Yates,1929.0,2011.0,Krull,director,producer
Peter Hyams,Peter Hyams,1943.0,0.0,2010: The Year We Make Contact,director,cinematographer
Blake Edwards,Blake Edwards,1922.0,2010.0,The Pink Panther Strikes Again,writer,producer
Lucio Fulci,Lucio Fulci,1927.0,1996.0,The New York Ripper,writer,director
Francis Ford Coppola,Francis Ford Coppola,1939.0,0.0,Apocalypse Now,producer,director
Ulu Grosbard,Ulu Grosbard,1929.0,2012.0,Georgia,production_manager,director
Bruce Malmuth,Bruce Malmuth,1934.0,2005.0,Hard to Kill,director,actor
John G. Avildsen,John G. Avildsen,1935.0,2017.0,Rocky,director,editor
Michael Wadleigh,Michael Wadleigh,1939.0,0.0,Wolfen,cinematographer,director
Sidney Lumet,Sidney Lumet,1924.0,2011.0,12 Angry Men,director,writer
Ken Wiederhorn,Ken Wiederhorn,1945.0,0.0,Dark Tower,director,producer
Steve Rash,,,,,,
Michael Schultz,Michael Schultz,1938.0,0.0,Cooley High,director,producer
Ken Shapiro,Ken Shapiro,1942.0,2017.0,The Groove Tube,actor,writer
Herbert Ross,Herbert Ross,1927.0,2001.0,The Turning Point,miscellaneous,director
Herbert Ross,Herbert Ross,1865.0,1934.0,The Skin Game,actor,
William A. Fraker,William A. Fraker,1923.0,2010.0,Bullitt,camera_department,cinematographer
Franklin J. Schaffner,Franklin J. Schaffner,1920.0,1989.0,Planet of the Apes,director,producer
Luis Valdez,Luis Valdez,1940.0,0.0,La Bamba,director,actor
Billy Wilder,Billy Wilder,1906.0,2002.0,The Apartment,writer,director
Oz Scott,Oz Scott,1949.0,0.0,Black Lightning,director,producer
Allan Arkush,Allan Arkush,1948.0,0.0,Heroes,producer,director
Gus Trikonis,Gus Trikonis,1937.0,0.0,West Side Story,director,actor
John Badham,John Badham,1939.0,0.0,WarGames,director,producer
Terence Young,Terence Young,1915.0,1994.0,Dr. No,director,writer
Jean-Claude Tramont,Jean-Claude Tramont,1930.0,1996.0,Focal Point,director,writer
Roger Spottiswoode,Roger Spottiswoode,1945.0,0.0,48 Hrs.,director,producer
Alan J. Pakula,Alan J. Pakula,1928.0,1998.0,Sophie's Choice,producer,director
John Schlesinger,John Schlesinger,1926.0,2003.0,Midnight Cowboy,actor,director
Noel Nosseck,Noel Nosseck,1943.0,0.0,Las Vegas Lady,director,editorial_department
Amy Heckerling,Amy Heckerling,1954.0,0.0,Clueless,writer,director
Ridley Scott,Ridley Scott,1937.0,0.0,The Martian,producer,director
John Milius,John Milius,1944.0,0.0,Conan the Barbarian,writer,producer
Ted Kotcheff,Ted Kotcheff,1931.0,0.0,Weekend at Bernie's,producer,director
Taylor Hackford,Taylor Hackford,1944.0,0.0,Ray,producer,director
Patricia Birch,Patricia Birch,1934.0,0.0,Great Performances,miscellaneous,director
Tobe Hooper,Tobe Hooper,1943.0,2017.0,The Texas Chain Saw Massacre,director,writer
Nicholas Meyer,Nicholas Meyer,1945.0,0.0,Time After Time,writer,producer
Richard Attenborough,Richard Attenborough,1923.0,2014.0,Jurassic Park,actor,producer
Steven Lisberger,Steven Lisberger,1951.0,0.0,Tron,writer,director
Don Bluth,Don Bluth,1937.0,0.0,Anastasia,animation_department,director
Sylvester Stallone,Sylvester Stallone,1946.0,0.0,Rocky,actor,writer
Don Coscarelli,Don Coscarelli,1954.0,0.0,Bubba Ho-Tep,writer,director
