primaryName,birthYear,deathYear,knownForTitle,primaryProfession,secondaryProfession
'Weird Al' Yankovic,1959.0,0.0,UHF,music_artist,actor
50 Cent,1975.0,0.0,Get Rich or Die Tryin',music_artist,actor
A.J. Cook,1978.0,0.0,Criminal Minds,actor,director
Aaliyah,1979.0,2001.0,Romeo Must Die,music_artist,actor
Aamir Khan,1965.0,0.0,Like Stars on Earth,actor,producer
Aaron Blaise,1968.0,0.0,Brother Bear,animation_department,director
Aaron Eckhart,1968.0,0.0,The Dark Knight,actor,producer
Aaron Norris,1951.0,0.0,"Walker, Texas Ranger: Trial by Fire",producer,director
Aaron Paul,1979.0,0.0,Breaking Bad,actor,producer
Aaron Seltzer,1974.0,0.0,Disaster Movie,writer,director
Aaron Sorkin,1961.0,0.0,The West Wing,writer,producer
Aaron Taylor-Johnson,1990.0,0.0,Kick-Ass,actor,producer
Abbie Cornish,1982.0,0.0,Bright Star,actor,producer
Abby Kohn,1971.0,0.0,I Feel Pretty,writer,producer
Abe Sylvia,1970.0,0.0,Dirty Girl,director,writer
Abel Ferrara,1951.0,0.0,Bad Lieutenant,director,actor
Abraham Attah,2002.0,0.0,Beasts of No Nation,actor,producer
Ace Young,1980.0,0.0,Sing It!,actor,composer
Adam Beach,1972.0,0.0,Windtalkers,actor,producer
Adam Brody,1979.0,0.0,The O.C.,actor,producer
Adam Brooks,1956.0,0.0,"Definitely, Maybe",writer,producer
Adam Driver,1983.0,0.0,Star Wars: Episode VII - The Force Awakens,actor,producer
Adam Green,1975.0,0.0,Frozen,director,writer
Adam Marcus,1968.0,0.0,Jason Goes to Hell,writer,director
Adam McKay,1968.0,0.0,The Other Guys,producer,writer
Adam Resnick,1970.0,0.0,Cabin Boy,writer,director
Adam Rifkin,1966.0,0.0,The Last Movie Star,writer,director
Adam Robitel,1978.0,0.0,The Taking of Deborah Logan,director,writer
Adam Sandler,1966.0,0.0,The Waterboy,actor,producer
Adam Scott,1973.0,0.0,Parks and Recreation,actor,producer
Adam Shankman,1964.0,0.0,Hairspray,producer,miscellaneous
Adam Simon,1962.0,0.0,Salem,writer,producer
Adam Wingard,1982.0,0.0,V/H/S,director,editor
Adelaide Clemens,1989.0,0.0,Rectify,actor,soundtrack
Adil El Arbi,1988.0,0.0,Black,director,writer
Adrian Grenier,1976.0,0.0,The Devil Wears Prada,actor,producer
Adrian Grunberg,1975.0,0.0,Rambo: Last Blood,director,writer
Adrian Lyne,1941.0,0.0,Jacob's Ladder,director,writer
Adrian Pasdar,1965.0,0.0,Carlito's Way,actor,director
Adrien Brody,1973.0,0.0,The Pianist,actor,producer
Adrienne Barbeau,1945.0,0.0,Escape from New York,actor,soundtrack
Adrienne Shelly,1966.0,2006.0,Waitress,actor,writer
Agnieszka Holland,1948.0,0.0,Spoor,director,writer
Agnieszka Wojtowicz-Vosloo,1975.0,0.0,After.Life,director,writer
Aida Mohammadkhani,1988.0,0.0,Ayneh,actor,none
Aidan Quinn,1959.0,0.0,Benny & Joon,actor,producer
Aileen Quinn,1971.0,0.0,Annie,actor,soundtrack
Akira Kurosawa,1910.0,1998.0,The Hidden Fortress,writer,director
Akira Terao,1947.0,0.0,Ran,actor,producer
Akiva Goldsman,1962.0,0.0,A Beautiful Mind,producer,writer
Akiva Schaffer,1977.0,0.0,Popstar: Never Stop Never Stopping,writer,director
Al Pacino,1940.0,0.0,Serpico,actor,director
Alan Arkin,1934.0,2023.0,Argo,actor,director
Alan Boyce,1961.0,0.0,Nowhere,actor,none
Alan Cohn,1970.0,0.0,Dead Man On Campus,director,none
Alan J. Pakula,1928.0,1998.0,Sophie's Choice,producer,director
Alan Johnson,1937.0,2018.0,History of the World: Part I,miscellaneous,director
Alan Metter,1942.0,2020.0,Back to School,director,writer
Alan Myerson,1936.0,0.0,The Larry Sanders Show,director,actor
Alan Parker,1944.0,2020.0,Evita,director,writer
Alan Poul,1954.0,0.0,The Back-Up Plan,director,producer
Alan Rudolph,1943.0,0.0,Trouble in Mind,director,writer
Alan Shapiro,1957.0,0.0,The Crush,writer,director
Alan Taylor,1959.0,0.0,Thor: The Dark World,director,producer
Alan Van Sprang,1971.0,0.0,Immortals,actor,producer
Albert Brooks,1947.0,0.0,Drive,actor,writer
Albert Finney,1936.0,2019.0,Murder on the Orient Express,actor,producer
Albert Hughes,1972.0,0.0,The Book of Eli,producer,director
Albert Magnoli,1953.0,0.0,American Anthem,director,writer
Albert Pyun,1953.0,2022.0,Cyborg,director,writer
Alden Ehrenreich,1989.0,0.0,"Hail, Caesar!",actor,director
Aldis Hodge,1986.0,0.0,Black Adam,actor,producer
Alec Baldwin,1958.0,0.0,The Departed,actor,producer
Alejandro Agresti,1961.0,0.0,Buenos Aires Vice Verse,director,writer
Alejandro Amenábar,1972.0,0.0,The Others,writer,director
Alejandro G. Iñárritu,1963.0,0.0,Biutiful,director,producer
Alek Skarlatos,1992.0,0.0,The 15:17 to Paris,actor,none
Aleksander Bach,1980.0,0.0,Hitman: Agent 47,director,writer
Alessandro Carloni,1978.0,0.0,Kung Fu Panda 3,animation_departement,none
Alessandro Nivola,1972.0,0.0,The Many Saints of Newark,actor,producer
Alex Cox,1954.0,0.0,Repo Man,actor,director
Alex D. Linz,1989.0,0.0,Home Alone 3,actor,none
Alex Garland,1970.0,0.0,Ex Machina,writer,producer
Alex Kendrick,1970.0,0.0,Courageous,actor,writer
Alex Kurtzman,1973.0,0.0,Sleepy Hollow,producer,writer
Alex Pettyfer,1990.0,0.0,Magic Mike,actor,producer
Alex Proyas,1963.0,0.0,Dark City,director,writer
Alex Roe,1990.0,0.0,The 5th Wave,actor,producer
Alex Veadov,1962.0,0.0,The Equalizer,actor,miscellaneous
Alex Vincent,1981.0,0.0,Child's Play,actor,sound_department
